,id,ra,dec,photo_z,density,overdensity,s_cluster,s_filament,environment,group_id,n_g,galaxy_type
2648,461637,149.465775,1.999539,0.9759,6.66,2.87,0.26876300000000003,0.446139,filament,4838.0,47.0,satellite
2649,492330,150.331292,2.046989,0.8472,6.02,2.4,0.099011,0.193711,filament,3237.0,18.0,satellite
2654,896896,150.53224,2.6599779999999997,0.3697,3.39,1.36,0.011954000000000001,0.008702,field,342.0,48.0,satellite
2655,896814,150.52689099999998,2.661708,0.8802,5.4,2.21,0.134801,0.101864,field,3769.0,12.0,satellite
2656,896709,149.95078999999998,2.660731,0.9142,5.94,2.49,0.389088,0.423154,filament,3953.0,33.0,satellite
2659,896674,149.42287,2.658852,0.9859,4.44,1.91,0.106188,0.270436,filament,5091.0,19.0,satellite
2661,896592,150.366414,2.661152,1.1516,3.03,1.57,0.050539,0.258752,filament,6324.0,10.0,satellite
2662,896985,150.057328,2.66031,0.6878,6.18,2.54,0.056402999999999995,0.295658,filament,1987.0,89.0,satellite
2663,896578,150.579196,2.65802,0.2144,4.08,1.45,0.27372399999999997,0.217654,cluster,69.0,18.0,satellite
2667,896371,150.575897,2.659512,0.8,10.89,4.31,0.48241999999999996,0.192156,cluster,2978.0,22.0,satellite
2669,896246,150.581842,2.656821,0.7987,15.77,6.24,0.44389300000000004,0.212155,cluster,2978.0,22.0,satellite
2672,896161,150.344191,2.659393,0.3642,1.73,0.69,0.00011599999999999999,0.009682,field,499.0,10.0,satellite
2677,897133,149.529327,2.659092,0.7178,13.72,5.54,0.09574500000000001,0.090928,field,2455.0,30.0,satellite
2680,927408,149.467825,2.707467,0.8801,6.27,2.56,0.098691,0.085861,field,3702.0,18.0,satellite
2681,927381,150.554126,2.7074979999999997,1.0855,2.76,1.33,0.06106,0.057651,field,6104.0,11.0,satellite
2682,927348,149.489915,2.708087,0.8516,2.56,1.02,0.136016,0.295018,filament,3702.0,18.0,satellite
2683,897671,149.992564,2.661773,0.8862,2.92,1.2,0.00022999999999999998,0.088275,filament,3953.0,33.0,satellite
2684,897620,150.530752,2.661633,0.8633,8.51,3.43,0.375291,0.14773699999999998,cluster,3769.0,12.0,satellite
2686,897575,150.713295,2.662826,0.8505,3.24,1.29,0.19862,0.194901,cluster,2920.0,40.0,satellite
2687,897119,149.947496,2.661606,0.901,12.4,5.14,0.55472,0.387602,cluster,3953.0,33.0,satellite
2688,897571,150.583075,2.660561,0.7903,13.18,5.19,0.364562,0.267917,cluster,2978.0,22.0,satellite
2691,897473,150.723795,2.6620340000000002,0.874,5.87,2.38,0.11663599999999999,0.095266,field,2920.0,40.0,satellite
2698,897561,150.036867,2.66298,0.6991,2.63,1.08,0.0,0.050419,filament,1987.0,89.0,satellite
2708,393283,150.43950900000002,1.889217,0.6714,8.81,3.65,0.651763,0.219797,cluster,1835.0,27.0,satellite
2709,393243,150.45541,1.888149,0.6712,11.87,4.91,0.683531,0.308747,cluster,1835.0,27.0,satellite
2710,393146,150.449582,1.886665,0.8604,4.39,1.76,0.003621,0.377019,filament,3438.0,26.0,satellite
2713,392990,150.471994,1.888995,0.6482,6.0,2.52,0.622591,0.330804,cluster,1835.0,27.0,satellite
2716,392754,150.479165,1.8869650000000002,0.6676,3.56,1.47,0.36692199999999997,0.204039,cluster,1835.0,27.0,satellite
2719,392696,150.137087,1.887287,0.57,4.94,2.06,0.137477,0.11238800000000002,field,1103.0,48.0,satellite
2724,896018,149.56182900000002,2.6583419999999998,0.7267,2.67,1.08,0.123652,0.043413,field,2455.0,30.0,satellite
2725,956085,150.504394,2.7544169999999997,1.1757,4.46,2.41,0.295272,0.308868,filament,7022.0,10.0,satellite
2726,956095,150.397469,2.752093,0.8198,15.69,6.22,0.41241099999999997,0.128475,cluster,2774.0,90.0,satellite
2728,895852,149.436499,2.65781,0.9978,2.05,0.88,0.007165,0.151567,filament,5091.0,19.0,satellite
2730,895811,150.098203,2.657864,0.346,12.04,4.8,0.777728,0.44354399999999994,cluster,357.0,65.0,satellite
2731,895744,149.97414799999999,2.658786,0.8951,7.9,3.27,0.058097,0.455403,filament,3953.0,33.0,satellite
2733,895673,150.52168700000001,2.655987,0.2188,3.98,1.42,0.31340100000000004,0.277711,cluster,101.0,34.0,satellite
2735,956497,150.596629,2.754208,0.3332,2.91,1.16,0.105647,0.159419,filament,342.0,48.0,satellite
2737,956474,150.446802,2.754469,0.79,27.41,10.79,0.55935,0.554013,cluster,2774.0,90.0,satellite
2746,956149,150.493535,2.751736,0.6036,19.43,8.34,0.673563,0.573724,cluster,1602.0,16.0,satellite
2747,956457,149.90638700000002,2.75516,0.8655,7.27,2.93,0.142219,0.084363,field,3700.0,85.0,satellite
2748,892034,150.73765,2.6527689999999997,0.6207,7.79,3.34,0.193734,0.5154810000000001,filament,1599.0,24.0,satellite
2749,877804,149.948632,2.6275470000000003,0.6009,5.75,2.47,0.217454,0.156878,cluster,1598.0,11.0,satellite
2751,892090,149.95189399999998,2.652158,0.8928,14.05,5.81,0.478922,0.464233,cluster,3953.0,33.0,satellite
2753,810758,150.172909,2.528083,0.6797,18.96,7.8,0.49226099999999995,0.19758599999999998,cluster,2197.0,25.0,satellite
2754,810731,150.100619,2.52877,0.9022,15.78,6.54,0.469117,0.401306,cluster,3688.0,95.0,satellite
2755,810728,149.836934,2.526152,0.7209,11.66,4.71,0.006653,0.217937,filament,1886.0,377.0,satellite
2757,810644,150.310804,2.528248,0.4992,10.05,4.0,0.42198900000000006,0.190795,cluster,1069.0,16.0,satellite
2759,810522,149.919064,2.528121,0.735,34.84,13.9,0.745216,0.397804,cluster,1886.0,377.0,satellite
2760,810487,150.00940500000002,2.526681,0.7181,3.72,1.5,0.0,0.0011970000000000001,field,1886.0,377.0,satellite
2762,810440,150.554719,2.530011,1.1293,3.74,1.86,0.11221600000000001,0.515432,filament,6180.0,36.0,satellite
2763,810435,149.945399,2.527761,0.6701,5.67,2.35,0.126248,0.215279,filament,1886.0,377.0,satellite
2764,810430,149.890573,2.529457,0.7018,5.21,2.14,0.555682,0.256967,cluster,1886.0,377.0,satellite
2765,810392,150.19065700000002,2.5286150000000003,0.8586,8.66,3.48,0.272013,0.157585,cluster,3560.0,13.0,satellite
2766,810391,149.914575,2.529058,0.6684,5.42,2.24,0.41892299999999993,0.258556,cluster,1886.0,377.0,satellite
2767,957351,150.427504,2.756195,0.8251,4.72,1.87,0.16062200000000001,0.175628,filament,2774.0,90.0,satellite
2768,957320,150.52775400000002,2.7542020000000003,0.3327,6.17,2.45,0.31043200000000004,0.126245,cluster,342.0,48.0,satellite
2769,957299,149.775252,2.755036,0.9166,6.04,2.53,0.27067199999999997,0.143024,cluster,4229.0,10.0,satellite
2770,957279,150.39746,2.75743,0.8377,3.29,1.31,0.06991,0.06364,field,2774.0,90.0,satellite
2773,810847,150.091423,2.528484,0.895,21.08,8.71,0.640969,0.64882,filament,3688.0,95.0,satellite
2776,810936,149.94109699999998,2.530345,0.7167,15.31,6.21,0.36351999999999995,0.5549569999999999,filament,1886.0,377.0,satellite
2777,840236,150.51311299999998,2.572748,1.1674,5.89,3.13,0.335633,0.41994899999999996,filament,6180.0,36.0,satellite
2779,840230,149.503062,2.570042,0.3799,8.6,3.45,0.089729,0.416225,filament,445.0,117.0,satellite
2780,840191,149.877917,2.577983,0.69,15.8,6.48,0.230823,0.359319,filament,1886.0,377.0,satellite
2784,839975,149.975249,2.577993,0.2474,9.7,3.56,0.617939,0.354883,cluster,139.0,25.0,satellite
2785,839945,149.855963,2.571254,0.9609,9.45,4.08,0.70009,0.31743899999999997,cluster,4676.0,34.0,satellite
2786,810876,150.212332,2.528564,0.8607,4.71,1.89,0.26186,0.25964299999999996,cluster,3560.0,13.0,satellite
2787,839944,149.82971899999998,2.570402,0.7331,7.01,2.8,0.008862,0.16892100000000002,filament,1886.0,377.0,satellite
2788,811082,150.114404,2.530422,0.8902,5.83,2.4,0.11046600000000001,0.311601,filament,3688.0,95.0,satellite
2789,811057,149.93771,2.529487,0.7031,17.45,7.13,0.441381,0.482756,filament,1886.0,377.0,satellite
2791,811032,150.463975,2.526153,0.1288,3.66,1.45,0.656968,0.266948,cluster,3.0,35.0,satellite
2792,811029,150.16341200000002,2.529814,0.6951,13.01,5.34,0.42867,0.428439,cluster,2197.0,25.0,satellite
2793,810989,149.93237,2.529954,0.7217,36.94,14.93,0.49005,0.5374979999999999,filament,1886.0,377.0,satellite
2796,810957,149.879919,2.527739,0.6652,3.63,1.51,0.070046,0.234362,filament,1886.0,377.0,satellite
2798,840300,150.40743799999998,2.5712900000000003,0.3489,3.95,1.58,0.020998,0.30296999999999996,filament,387.0,73.0,satellite
2802,928836,150.445121,2.707304,0.23,11.24,4.07,0.680141,0.248126,cluster,101.0,34.0,satellite
2804,928791,149.719464,2.710202,0.8631,14.52,5.85,0.316465,0.516284,filament,3420.0,22.0,satellite
2805,928690,150.275779,2.70912,0.6523,8.19,3.44,0.281702,0.18634,cluster,1887.0,10.0,satellite
2806,928651,150.144304,2.708876,0.9852,4.06,1.75,0.270278,0.16278,cluster,5290.0,17.0,satellite
2809,928499,150.119145,2.707948,0.7362,13.33,5.32,0.241116,0.10583,cluster,2567.0,22.0,satellite
2811,928472,150.466835,2.708471,0.8112,9.9,3.92,0.036539999999999996,0.199122,filament,2774.0,90.0,satellite
2812,953062,149.853071,2.75021,0.8778,13.52,5.52,0.243711,0.303291,filament,3571.0,10.0,satellite
2822,928927,150.535347,2.718657,0.2194,6.35,2.28,0.255779,0.25966300000000003,filament,101.0,34.0,satellite
2824,928939,149.907354,2.7084490000000003,0.8804,24.22,9.9,0.465846,0.621116,filament,3700.0,85.0,satellite
2825,928993,150.524477,2.710543,0.2298,6.75,2.44,0.34544,0.487811,filament,101.0,34.0,satellite
2827,956913,149.794835,2.755973,0.9131,6.68,2.8,0.376116,0.151222,cluster,4229.0,10.0,satellite
2828,956891,150.436809,2.755983,0.809,15.2,6.02,0.412713,0.473108,filament,2774.0,90.0,satellite
2837,956599,149.849329,2.75515,0.8721,8.29,3.36,0.077507,0.41937299999999994,filament,3571.0,10.0,satellite
2841,956527,149.79533,2.755007,0.9308,4.17,1.77,0.14269,0.041268,field,4229.0,10.0,satellite
2843,929121,149.47595900000002,2.710234,0.8575,6.51,2.61,0.293128,0.44579799999999997,filament,3702.0,18.0,satellite
2845,929004,150.13849299999998,2.710514,0.9923,4.64,1.99,0.406508,0.14403,cluster,5290.0,17.0,satellite
2848,840337,150.124317,2.573762,0.4853,11.98,4.79,0.29277,0.138505,cluster,991.0,54.0,satellite
2849,840361,149.829937,2.572031,0.9163,6.52,2.73,0.40936999999999996,0.214946,cluster,4030.0,13.0,satellite
2852,876633,149.935339,2.628174,0.8905,9.77,4.03,0.42194799999999993,0.358134,cluster,3700.0,85.0,satellite
2853,876600,150.59142,2.627072,0.8135,6.53,2.59,0.021554,0.06135,filament,2978.0,22.0,satellite
2854,876565,149.946368,2.6294310000000003,0.8769,6.73,2.74,0.25610900000000003,0.560823,filament,3700.0,85.0,satellite
2857,876396,149.927977,2.628561,0.8737,16.85,6.85,0.393314,0.498133,filament,3700.0,85.0,satellite
2858,876336,149.865118,2.628646,1.0211,2.25,0.99,0.086476,0.072451,field,5216.0,12.0,satellite
2859,876828,150.092132,2.628101,0.6701,4.79,1.98,0.296798,0.301137,filament,1987.0,89.0,satellite
2862,966824,149.83748799999998,2.7682919999999998,0.4799,13.05,5.23,0.120771,0.055322,field,1047.0,10.0,satellite
2864,966788,150.47573799999998,2.768549,0.5981,7.85,3.37,0.515745,0.601318,filament,1652.0,10.0,satellite
2868,938276,150.385964,2.724559,0.9307,8.06,3.43,0.328784,0.29986599999999997,cluster,4268.0,16.0,satellite
2872,938150,149.73486100000002,2.723985,0.8329,2.96,1.18,0.002499,0.049275,filament,3420.0,22.0,satellite
2873,877065,150.50624,2.628603,0.8116,5.2,2.06,0.005167000000000001,0.050423,filament,3025.0,10.0,satellite
2874,877123,150.048462,2.627829,0.6621,7.28,3.04,0.494039,0.226946,cluster,1987.0,89.0,satellite
2875,877703,150.077235,2.628229,0.6921,8.87,3.64,0.305394,0.324154,filament,1987.0,89.0,satellite
2876,877675,150.49068,2.6284959999999997,0.34,5.49,2.19,0.095902,0.347611,filament,355.0,37.0,satellite
2878,877654,149.901873,2.627944,0.3296,3.87,1.53,0.081981,0.339309,filament,356.0,24.0,satellite
2881,877574,150.586692,2.630509,0.8025,8.64,3.42,0.127199,0.258405,filament,2978.0,22.0,satellite
2883,877468,149.926104,2.6298529999999998,0.8648,15.21,6.13,0.346042,0.513397,filament,3700.0,85.0,satellite
2885,877417,149.924831,2.629391,0.8676,17.01,6.89,0.36554899999999996,0.536851,filament,3700.0,85.0,satellite
2891,877231,150.554633,2.6263959999999997,0.6072,5.5,2.36,0.266958,0.406388,filament,1480.0,80.0,satellite
2892,877218,150.135332,2.627748,0.522,5.49,2.18,0.143284,0.148447,filament,1092.0,16.0,satellite
2894,877189,150.447576,2.628694,0.2215,7.02,2.51,0.26274699999999995,0.284319,filament,101.0,34.0,satellite
2897,938126,149.483406,2.7237259999999996,0.8565,8.7,3.48,0.322815,0.6668810000000001,filament,3702.0,18.0,satellite
2902,937082,149.633972,2.723103,0.8464,4.79,1.91,0.015261000000000002,0.115628,filament,3569.0,11.0,satellite
2912,840550,150.408497,2.571343,0.23,6.59,2.38,0.4741,0.39461799999999997,cluster,99.0,15.0,satellite
2915,840490,149.842108,2.5731330000000003,0.9857,7.21,3.1,0.355179,0.11756,cluster,4676.0,34.0,satellite
2919,840758,150.47557,2.574893,1.1792,2.18,1.19,0.000455,0.114922,filament,6277.0,17.0,satellite
2922,937340,150.376733,2.722146,0.9179,9.74,4.1,0.235073,0.49556999999999995,filament,4268.0,16.0,satellite
2924,938049,149.47597,2.722689,0.8649,13.45,5.42,0.353808,0.448187,filament,3702.0,18.0,satellite
2925,938010,150.104605,2.722191,0.6913,4.85,1.99,0.00839,0.046401,filament,2091.0,24.0,satellite
2926,937949,149.641548,2.724792,0.8567,3.62,1.45,0.051200999999999997,0.439038,filament,3569.0,11.0,satellite
2927,937936,150.130066,2.723319,1.0106,9.65,4.2,0.312634,0.20877800000000002,cluster,5290.0,17.0,satellite
2929,937924,150.53276699999998,2.722074,0.3435,13.34,5.32,0.37135300000000004,0.181086,cluster,342.0,48.0,satellite
2933,937374,150.210583,2.724042,0.9352,5.5,2.35,0.062989,0.273167,filament,4375.0,16.0,satellite
2935,937709,150.39531399999998,2.723796,0.9101,6.26,2.61,0.23406300000000002,0.30156700000000003,filament,4268.0,16.0,satellite
2936,937702,150.457249,2.724333,0.8071,5.35,2.12,0.002154,0.43447299999999994,filament,2774.0,90.0,satellite
2941,937487,150.45310600000002,2.72315,0.2253,9.07,3.27,0.43402700000000005,0.171454,cluster,101.0,34.0,satellite
2942,937432,150.15125700000002,2.721895,0.9955,6.3,2.71,0.17289200000000002,0.210031,filament,5290.0,17.0,satellite
2947,952446,150.496503,2.747436,0.6171,19.11,8.2,0.638491,0.501888,cluster,1602.0,16.0,satellite
2949,475557,150.53248,2.019283,0.4357,1.58,0.64,0.009877,0.37090100000000004,filament,713.0,40.0,satellite
2950,475539,149.64307,2.01884,0.32,2.27,0.89,0.059942999999999996,0.07301,filament,290.0,17.0,satellite
2959,474896,150.333256,2.020819,0.9551,5.17,2.22,0.22345700000000002,0.11413,cluster,4648.0,20.0,satellite
2968,474961,149.760023,2.0194099999999997,0.6691,2.45,1.01,0.002247,0.050124,filament,2020.0,14.0,satellite
2969,906717,149.84108999999998,2.674433,0.26,16.33,6.12,0.556545,0.593771,filament,196.0,14.0,satellite
2971,906793,150.14816399999998,2.6768560000000003,1.006,8.57,3.71,0.534998,0.252542,cluster,5094.0,11.0,satellite
2972,906816,150.14258999999998,2.6764080000000003,0.9361,6.3,2.69,0.13517300000000002,0.138654,filament,4618.0,10.0,satellite
2975,907349,150.101069,2.6755880000000003,0.3714,4.05,1.63,0.026581999999999998,0.007333,field,357.0,65.0,satellite
2978,907244,150.14318799999998,2.676107,0.3361,13.13,5.22,0.7373069999999999,0.310308,cluster,357.0,65.0,satellite
2988,906872,149.83768,2.6728669999999997,0.26,15.73,5.9,0.540287,0.57335,filament,196.0,14.0,satellite
2989,906866,149.886755,2.676059,0.8953,4.02,1.66,0.12013900000000001,0.251325,filament,3700.0,85.0,satellite
2991,906833,150.730839,2.675589,0.8541,7.69,3.08,0.499749,0.40218400000000004,cluster,2920.0,40.0,satellite
3001,921210,149.914615,2.6971529999999997,0.9185,7.12,3.0,0.22750700000000001,0.30649,filament,4338.0,10.0,satellite
3003,921175,150.146155,2.698523,0.3541,13.17,5.27,0.563587,0.36102,cluster,357.0,65.0,satellite
3004,921156,150.504301,2.70357,0.24,5.48,2.01,0.281587,0.574908,filament,101.0,34.0,satellite
3005,921155,150.645469,2.6989349999999996,0.2125,11.38,4.05,0.169723,0.225897,filament,69.0,18.0,satellite
3007,921126,149.916977,2.6965619999999997,0.8532,4.74,1.9,0.079536,0.397851,filament,3700.0,85.0,satellite
3009,920964,149.834576,2.69695,0.2614,14.05,5.27,0.610382,0.534105,cluster,196.0,14.0,satellite
3010,892418,150.011966,2.6548849999999997,0.9092,5.28,2.2,0.030593000000000002,0.165297,filament,4098.0,15.0,satellite
3011,892328,150.036489,2.654769,0.7905,14.38,5.66,0.5072,0.261878,cluster,2888.0,13.0,satellite
3012,892301,150.046209,2.65351,0.7995,19.21,7.6,0.53906,0.270894,cluster,2888.0,13.0,satellite
3013,892295,150.17346,2.655378,0.33,3.91,1.54,0.300262,0.317062,filament,357.0,65.0,satellite
3015,892131,150.044376,2.652015,0.6899,7.69,3.16,0.089586,0.298161,filament,1987.0,89.0,satellite
3017,921070,150.152962,2.696942,0.3739,1.88,0.76,0.004611,0.002798,field,357.0,65.0,satellite
3020,441855,149.433829,1.9665740000000003,0.8997,10.71,4.44,0.569029,0.14798699999999998,cluster,4119.0,20.0,satellite
3022,474417,149.699586,2.0198490000000002,1.1571,2.38,1.24,0.036435,0.143654,filament,6569.0,10.0,satellite
3026,474274,150.282139,2.016314,0.3099,6.63,2.56,0.054565999999999996,0.238434,filament,246.0,67.0,satellite
3030,474232,150.364443,2.017168,0.7804,10.43,4.1,0.590675,0.23413,cluster,2839.0,58.0,satellite
3031,441901,149.453118,1.967393,0.9142,8.95,3.75,0.657624,0.29583200000000004,cluster,4119.0,20.0,satellite
3037,473813,149.829123,2.015866,0.3544,2.5,1.0,0.0,0.042022000000000004,filament,379.0,157.0,satellite
3039,473757,149.515769,2.019056,0.9734,5.97,2.58,0.28836799999999996,0.305139,filament,4838.0,47.0,satellite
3042,474103,150.61843000000002,2.016138,0.4403,5.47,2.22,0.035774,0.437108,filament,737.0,26.0,satellite
3043,952466,150.491254,2.747346,0.6081,30.55,13.12,0.758004,0.510115,cluster,1602.0,16.0,satellite
3044,907469,149.83154,2.675727,0.2799,4.79,1.82,0.434924,0.28134899999999996,cluster,196.0,14.0,satellite
3050,951122,150.60931599999998,2.743318,0.21,7.41,2.63,0.284113,0.20258800000000002,cluster,69.0,18.0,satellite
3051,951120,150.444924,2.743675,0.8112,11.85,4.69,0.193617,0.559938,filament,2774.0,90.0,satellite
3056,922567,150.118023,2.700821,0.7365,10.03,4.0,0.212373,0.086721,cluster,2567.0,22.0,satellite
3058,922513,150.13228999999998,2.701022,0.3526,15.27,6.12,0.6718810000000001,0.31942,cluster,357.0,65.0,satellite
3059,922511,150.63200700000002,2.6994599999999997,0.6178,2.52,1.08,0.016227000000000002,0.10323900000000001,filament,1512.0,26.0,satellite
3065,922181,150.27021200000001,2.700167,1.1936,2.84,1.59,0.096819,0.302832,filament,6671.0,12.0,satellite
3068,922172,150.048541,2.6989900000000002,0.6836,4.28,1.76,0.003215,0.101878,filament,2093.0,13.0,satellite
3072,952427,149.862683,2.747607,0.8592,6.99,2.81,0.09357599999999999,0.480741,filament,3571.0,10.0,satellite
3076,952387,150.415154,2.748328,0.3302,3.11,1.23,0.031251999999999995,0.10650599999999999,filament,396.0,13.0,satellite
3077,952356,149.886951,2.747311,0.8515,3.33,1.33,0.12026099999999999,0.206048,filament,3700.0,85.0,satellite
3079,952326,150.344985,2.748411,1.1442,8.22,4.22,0.741775,0.284855,cluster,6489.0,17.0,satellite
3080,951628,150.446935,2.747288,0.8267,4.4,1.74,0.021215,0.14796700000000002,filament,2774.0,90.0,satellite
3081,952223,149.858673,2.74801,0.8609,8.65,3.48,0.10816500000000001,0.472933,filament,3571.0,10.0,satellite
3082,952084,150.234075,2.746566,0.9188,10.06,4.24,0.575087,0.147747,cluster,4375.0,16.0,satellite
3085,951877,150.502366,2.748919,1.1813,3.35,1.83,0.337427,0.311438,cluster,7022.0,10.0,satellite
3088,951782,150.338495,2.7479810000000002,1.1493,10.24,5.29,0.6625939999999999,0.389264,cluster,6489.0,17.0,satellite
3093,922171,149.724006,2.698075,0.8484,5.29,2.12,0.119932,0.354775,filament,3420.0,22.0,satellite
3094,922166,149.91856299999998,2.699265,1.1038,7.2,3.5,0.500768,0.45107200000000003,cluster,6279.0,15.0,satellite
3098,921259,149.893233,2.698359,0.9085,5.97,2.49,0.21708899999999998,0.41483400000000004,filament,4338.0,10.0,satellite
3099,921254,149.910328,2.695579,0.8509,4.38,1.75,0.035267,0.138967,filament,3700.0,85.0,satellite
3100,937014,150.33185600000002,2.723933,1.1512,2.99,1.54,0.29032199999999997,0.256643,cluster,6489.0,17.0,satellite
3101,937011,149.47333899999998,2.723073,0.8576,10.45,4.19,0.346171,0.49345100000000003,filament,3702.0,18.0,satellite
3104,921347,149.88407800000002,2.698067,0.9109,4.61,1.92,0.08951,0.29496300000000003,filament,4338.0,10.0,satellite
3105,936891,150.105995,2.722905,0.7196,9.82,3.97,0.09626,0.035099,field,2567.0,22.0,satellite
3107,936797,149.477497,2.7214099999999997,0.8698,13.13,5.32,0.30078699999999997,0.37099699999999997,filament,3702.0,18.0,satellite
3122,922130,149.930632,2.699445,0.8886,8.83,3.64,0.19725299999999998,0.421972,filament,3700.0,85.0,satellite
3124,921890,150.652773,2.6981319999999998,0.5989,4.21,1.81,0.036539,0.10983399999999999,filament,1512.0,26.0,satellite
3125,921840,149.909524,2.6997419999999996,0.8792,14.66,5.99,0.343043,0.6554810000000001,filament,3700.0,85.0,satellite
3130,921671,150.329057,2.696155,0.4948,5.16,2.06,0.214506,0.141901,cluster,1071.0,19.0,satellite
3131,921657,149.852936,2.696079,0.2735,14.97,5.66,0.8230940000000001,0.350099,cluster,196.0,14.0,satellite
3133,921638,150.632622,2.6971979999999998,0.21,16.06,5.69,0.325907,0.19862,cluster,69.0,18.0,satellite
3134,921628,150.571878,2.69896,1.1265,1.48,0.74,0.026254000000000003,0.029843,field,6104.0,11.0,satellite
3136,921623,150.10249,2.697495,0.6972,4.65,1.91,0.016947999999999998,0.067095,filament,2091.0,24.0,satellite
3137,921497,150.57228899999998,2.696457,0.3496,4.13,1.65,0.15806199999999998,0.216991,filament,342.0,48.0,satellite
3141,546095,150.13703999999998,2.1303240000000003,0.9587,7.82,3.37,0.208117,0.275582,filament,4559.0,13.0,satellite
3144,545912,150.16963,2.12839,0.3401,3.03,1.21,0.009773,0.064042,filament,380.0,15.0,satellite
3147,736170,149.470828,2.415156,0.4717,23.13,9.32,0.817908,0.492432,cluster,928.0,78.0,satellite
3148,736141,150.459599,2.412086,0.3685,4.24,1.7,0.016041999999999997,0.030400999999999997,filament,387.0,73.0,satellite
3152,736069,150.394101,2.414825,0.3639,11.11,4.46,0.161049,0.107063,cluster,387.0,73.0,satellite
3153,735986,150.37774199999998,2.412246,0.34,12.24,4.88,0.277598,0.181826,cluster,387.0,73.0,satellite
3154,736192,150.163921,2.414275,0.8969,6.54,2.7,0.275992,0.260502,cluster,3982.0,22.0,satellite
3155,735922,149.48356,2.4129099999999997,0.4719,24.5,9.88,0.720521,0.44813500000000006,cluster,928.0,78.0,satellite
3156,624718,149.729873,2.2463290000000002,0.7059,11.57,4.73,0.082354,0.076184,field,2283.0,11.0,satellite
3157,624713,149.659997,2.248904,0.9802,2.43,1.05,0.0003,0.047702,filament,4133.0,106.0,satellite
3158,624593,150.532313,2.2462400000000002,1.1428,11.21,5.76,0.648166,0.38212199999999996,cluster,6519.0,11.0,satellite
3160,624549,149.867105,2.246789,0.9422,2.54,1.09,0.000627,0.087884,filament,4481.0,16.0,satellite
3161,624492,150.118688,2.246436,0.7493,8.21,3.25,0.433252,0.177066,cluster,2708.0,14.0,satellite
3162,624488,150.505506,2.245257,0.8328,10.81,4.3,0.520526,0.399715,cluster,2856.0,160.0,satellite
3163,624400,149.662227,2.246987,0.9347,6.08,2.6,0.082951,0.236479,filament,4133.0,106.0,satellite
3164,624329,150.121365,2.243177,0.6616,2.79,1.17,0.003771,0.124805,filament,1962.0,22.0,satellite
3165,624761,150.100416,2.247408,0.7489,4.86,1.93,0.38471,0.137908,cluster,2708.0,14.0,satellite
3169,736278,150.216033,2.415063,0.8704,3.68,1.49,0.10901,0.11773099999999999,filament,3548.0,12.0,satellite
3171,736944,149.940666,2.4172990000000003,0.8573,6.49,2.6,0.19308699999999998,0.475425,filament,3755.0,23.0,satellite
3174,736697,150.323734,2.416993,0.701,4.77,1.96,0.034645,0.087594,filament,2164.0,17.0,satellite
3175,736677,150.263945,2.434723,0.102,6.33,2.65,0.580242,0.42028699999999997,cluster,3.0,35.0,satellite
3177,736608,150.630778,2.416632,0.9712,5.29,2.29,0.074566,0.11069000000000001,filament,5076.0,16.0,satellite
3178,736580,150.146299,2.414816,0.89,9.15,3.77,0.26210900000000004,0.20286700000000002,cluster,3982.0,22.0,satellite
3183,736468,149.684396,2.415343,0.375,15.31,6.14,0.09790800000000001,0.086949,field,331.0,84.0,satellite
3185,736401,149.93422900000002,2.416298,0.8681,10.77,4.36,0.398993,0.45460900000000004,filament,3755.0,23.0,satellite
3190,736502,150.506013,2.420409,0.9132,4.53,1.9,0.14343499999999998,0.31405900000000003,filament,4142.0,10.0,satellite
3191,736977,150.171944,2.415698,0.9104,4.46,1.86,0.246004,0.393796,filament,3982.0,22.0,satellite
3192,624278,149.679327,2.247457,0.9001,3.33,1.38,0.140713,0.060712,field,4133.0,106.0,satellite
3193,624042,149.766818,2.2449779999999997,0.3874,5.41,2.17,0.098669,0.069991,field,379.0,157.0,satellite
3196,595646,149.718606,2.2015569999999998,0.3745,2.86,1.15,0.0,0.042338,filament,535.0,18.0,satellite
3197,595611,149.612128,2.2039299999999997,0.9599,4.68,2.02,0.047503,0.109623,filament,4133.0,106.0,satellite
3198,595597,150.47964299999998,2.2035310000000004,0.8115,5.7,2.26,0.321579,0.220032,cluster,2856.0,160.0,satellite
3199,595506,150.150574,2.2046759999999996,0.639,4.32,1.82,0.073871,0.09904,filament,1859.0,17.0,satellite
3200,595481,150.31978,2.200825,0.4206,7.01,2.85,0.28298,0.067813,cluster,753.0,10.0,satellite
3205,595348,149.62147,2.205551,1.0215,4.37,1.92,0.295578,0.49797700000000006,filament,4133.0,106.0,satellite
3208,595194,150.14613300000002,2.200863,0.335,2.72,1.08,0.004121,0.015059999999999999,filament,380.0,15.0,satellite
3209,595135,150.321372,2.202511,0.3663,4.86,1.95,0.005878,0.07496,filament,510.0,30.0,satellite
3210,595121,150.09258300000002,2.20301,0.6801,15.99,6.57,0.5426310000000001,0.23036900000000002,cluster,1962.0,22.0,satellite
3212,595108,150.02999,2.2035560000000003,0.9427,12.57,5.39,0.41580200000000006,0.5246390000000001,filament,3455.0,121.0,satellite
3213,595107,150.020982,2.204185,0.9042,6.13,2.55,0.073304,0.034996,field,3455.0,121.0,satellite
3215,595734,149.852059,2.2043220000000003,0.9249,8.01,3.39,0.414376,0.157244,cluster,4414.0,28.0,satellite
